Gel1g00383	Gel2g00102
Gel1g00391	Gel2g00098
Gel1g00343	Gel2g00060
Gel1g00336	Gel2g00055
Gel6g00832	Gel7g00171
Gel6g00190	Gel7g00171
Gel13g00727	Gel18g00579
Gel13g00627	Gel18g00554
Gel13g00414	Gel18g00483
Gel13g00263	Gel18g00214
Gel13g00075	Gel18g00054
Gel13g00627	Gel18g00588
Gel13g00727	Gel18g00630
Gel9g00652	Gel15g00572
Gel9g00599	Gel15g00608
Gel9g00575	Gel15g00628
Gel14g00264	Gel15g00650
Gel14g00285	Gel15g00678
Gel14g00313	Gel15g00692
Gel6g00110	Gel7g00303
Gel1g00005	Gel7g00302
Gel1g00109	Gel7g00303
Gel6g00830	Gel7g00494
Gel6g00040	Gel7g00071
Gel6g00051	Gel7g00085
Gel6g00093	Gel7g00090
Gel9g01052	Gel15g00360
Gel9g00438	Gel15g00333
Gel9g00806	Gel15g00291
Gel9g00575	Gel15g00628
Gel9g00506	Gel16g00648
Gel14g00263	Gel15g00655
Gel14g00251	Gel15g00641
Gel14g00244	Gel16g00621
Gel14g00216	Gel16g00608
Gel14g00202	Gel16g00596
Gel14g00177	Gel16g00591
Gel14g00088	Gel16g00521
Gel2g01232	Gel11g00611
Gel2g01212	Gel11g00634
Gel1g01422	Gel7g00967
Gel1g01411	Gel7g00960
Gel1g01365	Gel7g00920
Gel1g01314	Gel7g00888
Gel1g01298	Gel7g00824
Gel1g01143	Gel7g00774
Gel1g00885	Gel7g00631
Gel1g00585	Gel7g00628
Gel10g00857	Gel12g00662
Gel10g00865	Gel12g00750
Gel1g00242	Gel2g00285
Gel1g00416	Gel2g00118
Gel2g01526	Gel3g00268
Gel2g01548	Gel3g00825
Gel2g01572	Gel3g00848
Gel2g01586	Gel3g00902
Gel2g01600	Gel3g01457
Gel2g01605	Gel3g00252
Gel2g01608	Gel3g00249
Gel2g01628	Gel3g00092
Gel2g01640	Gel3g00110
Gel2g00654	Gel14g00520
Gel3g00755	Gel5g00796
Gel3g00572	Gel5g00848
Gel3g00680	Gel5g00901
Gel3g00678	Gel5g00902
Gel3g00616	Gel5g01179
Gel14g00307	Gel15g00700
Gel14g00285	Gel15g00678
Gel14g00264	Gel15g00650
Gel14g00216	Gel16g00608
Gel14g00202	Gel16g00596
Gel5g00564	Gel14g00147
Gel5g00506	Gel14g00105
Gel14g00088	Gel16g00521
Gel8g00851	Gel17g00569
Gel2g00696	Gel11g00370
Gel2g00550	Gel11g00303
Gel1g01457	Gel7g00988
